Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Water-tank-5d,[15],28,S,10,False,True,30,30,[0.2 0.2 0.2 0.2 0.2],,,[0.1801 0.161  0.161  0.161  0.161 ],[0.024 0.005 0.005 0.005 0.005],[0.2 0.2 0.2 0.2 0.2],[0.05248324 0.078      0.078      0.078      0.078     ],pwa,41.22314722700321,32.48860272499951,7.885597618005704,0.25066243699984625,0.114001
Water-tank-5d,[15],32,S,8,False,True,20,20,[0.2 0.2 0.2 0.2 0.2],,,[0.17525 0.15125 0.15125 0.15125 0.15125],[0.024 0.005 0.005 0.005 0.005],[0.2 0.2 0.2 0.2 0.2],[0.0576189  0.08443748 0.08443748 0.08443748 0.08443748],pwa,68.0501452669996,61.59875800000009,5.632117949000531,0.3003898120005033,0.118001
Water-tank-5d,[15],37,S,16,False,True,66,66,[0.2 0.2 0.2 0.2 0.2],,,[0.189125 0.154125 0.153875 0.155625 0.154625],[0.03  0.005 0.005 0.005 0.005],[0.217 0.2   0.2   0.2   0.2  ],[0.04203997 0.07967816 0.08019498 0.07774628 0.07890966],pwa,235.6709741630002,12.532258175990137,220.98434286499105,0.3841408170010254,0.130001
Water-tank-6d,[16],2,S,11,False,True,26,26,[0.3 0.2 0.2 0.2 0.2 0.2],,,[0.27936364 0.16490909 0.16545455 0.16727273 0.16454545 0.16663636],[0.079 0.005 0.007 0.013 0.005 0.009],[0.3 0.2 0.2 0.2 0.2 0.2],[0.06338378 0.07444394 0.07329314 0.06948916 0.07521045 0.07084718],pwa,77.67539951599974,59.508412139999564,16.641915492997214,0.479141633000836,0.229001
Water-tank-6d,[16],6,S,19,False,True,66,66,[0.3 0.2 0.2 0.2 0.2 0.2],,,[0.26810526 0.16068421 0.15947368 0.16063158 0.16026316 0.15910526],[0.032 0.005 0.005 0.007 0.005 0.005],[0.3 0.2 0.2 0.2 0.2 0.2],[0.08052061 0.07624963 0.07848256 0.07630356 0.07701185 0.07919456],pwa,150.1886941119992,45.62440914399849,102.10853832100474,0.7740307670028415,0.318001
Water-tank-6d,[16],8,S,11,False,True,26,26,[0.3 0.2 0.2 0.2 0.2 0.2],,,[0.275      0.14827273 0.15145455 0.14709091 0.147      0.14772727],[0.037 0.005 0.009 0.005 0.005 0.005],[0.315 0.2   0.2   0.2   0.2   0.2  ],[0.07582756 0.08451045 0.07985369 0.08640124 0.08655004 0.0853965 ],pwa,192.24780541800283,94.07582987800197,96.67207424399385,0.37752142200042726,0.184001
Water-tank-6d,[16],14,S,16,False,True,54,54,[0.3 0.2 0.2 0.2 0.2 0.2],,,[0.285     0.1789375 0.1778125 0.17775   0.178125  0.1756875],[0.067 0.02  0.015 0.014 0.016 0.005],[0.3 0.2 0.2 0.2 0.2 0.2],[0.05631274 0.05587427 0.05876247 0.05893588 0.05796322 0.06432507],pwa,339.512313154999,53.4507180790024,284.45134438499736,0.4598115009976027,0.230001
Water-tank-6d,[16],17,S,12,False,True,40,40,[0.3 0.2 0.2 0.2 0.2 0.2],,,[0.27958333 0.16966667 0.1675     0.17133333 0.16866667 0.16783333],[0.061 0.017 0.005 0.026 0.011 0.005],[0.3 0.2 0.2 0.2 0.2 0.2],[0.06592604 0.06782862 0.07267221 0.06410582 0.07006465 0.07193149],pwa,133.23159734799992,60.38470055899961,71.43181158800508,0.42601875200125505,0.233001
Water-tank-6d,[16],,False,,False,True,,,,,,inf,inf,inf,inf,pwa,,,,,
Water-tank-6d,[16],24,S,25,False,True,120,120,[0.3 0.2 0.2 0.2 0.2 0.2],,,[0.3006 0.1922 0.1922 0.1922 0.1922 0.1922],[0.3   0.005 0.005 0.005 0.005 0.005],[0.315 0.2   0.2   0.2   0.2   0.2  ],[0.00293939 0.03821204 0.03821204 0.03821204 0.03821204 0.03821204],pwa,1661.2311187339983,38.922981819003326,1619.2605826219879,0.8294517040012579,0.304001
Water-tank-6d,[16],,False,,False,True,,,,,,inf,inf,inf,inf,pwa,,,,,
Water-tank-6d,[16],,False,,False,True,,,,,,inf,inf,inf,inf,pwa,,,,,
